history:GTC_Multisite_Inwi/BRK-ONE Active Power Total-TGBT

Timestamp,Trend Flags,Status,Value (kW)
26-Sep-24 4:45:00 AM WEST,{ },{ok},12.00
26-Sep-24 5:00:00 AM WEST,{ },{ok},11.00
26-Sep-24 5:15:00 AM WEST,{ },{ok},12.00
26-Sep-24 5:30:00 AM WEST,{ },{ok},14.00
26-Sep-24 5:45:00 AM WEST,{ },{ok},14.00
26-Sep-24 6:00:00 AM WEST,{ },{ok},14.00
26-Sep-24 6:15:00 AM WEST,{ },{ok},13.00
26-Sep-24 6:30:00 AM WEST,{ },{ok},13.00
26-Sep-24 6:45:00 AM WEST,{ },{ok},12.00
26-Sep-24 7:00:00 AM WEST,{ },{ok},12.00
26-Sep-24 7:15:00 AM WEST,{ },{ok},15.00
26-Sep-24 7:30:00 AM WEST,{ },{ok},12.00
26-Sep-24 7:45:00 AM WEST,{ },{ok},15.00
26-Sep-24 8:00:01 AM WEST,{ },{ok},15.00
26-Sep-24 8:15:00 AM WEST,{ },{ok},12.00
26-Sep-24 8:30:00 AM WEST,{ },{ok},10.00
26-Sep-24 8:45:00 AM WEST,{ },{ok},16.00
26-Sep-24 9:00:00 AM WEST,{ },{ok},15.00
26-Sep-24 9:15:00 AM WEST,{ },{ok},14.00
26-Sep-24 9:30:00 AM WEST,{ },{ok},14.00
26-Sep-24 9:45:00 AM WEST,{ },{ok},13.00
26-Sep-24 10:00:00 AM WEST,{ },{ok},12.00
26-Sep-24 10:15:00 AM WEST,{ },{ok},12.00
26-Sep-24 10:30:00 AM WEST,{ },{ok},12.00
26-Sep-24 10:45:00 AM WEST,{ },{ok},13.00
26-Sep-24 11:00:00 AM WEST,{ },{ok},13.00
26-Sep-24 11:15:00 AM WEST,{ },{ok},16.00
26-Sep-24 11:30:00 AM WEST,{ },{ok},16.00
26-Sep-24 11:45:00 AM WEST,{ },{ok},13.00
26-Sep-24 12:00:00 PM WEST,{ },{ok},15.00
26-Sep-24 12:15:00 PM WEST,{ },{ok},13.00
26-Sep-24 12:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 12:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 1:00:00 PM WEST,{ },{ok},16.00
26-Sep-24 1:15:00 PM WEST,{ },{ok},13.00
26-Sep-24 1:30:00 PM WEST,{ },{ok},16.00
26-Sep-24 1:45:00 PM WEST,{ },{ok},14.00
26-Sep-24 2:00:00 PM WEST,{ },{ok},14.00
26-Sep-24 2:15:00 PM WEST,{ },{ok},13.00
26-Sep-24 2:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 2:45:01 PM WEST,{ },{ok},13.00
26-Sep-24 3:00:00 PM WEST,{ },{ok},17.00
26-Sep-24 3:15:01 PM WEST,{ },{ok},16.00
26-Sep-24 3:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 3:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 4:00:00 PM WEST,{ },{ok},16.00
26-Sep-24 4:15:00 PM WEST,{ },{ok},16.00
26-Sep-24 4:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 4:45:00 PM WEST,{ },{ok},16.00
26-Sep-24 5:00:00 PM WEST,{ },{ok},16.00
26-Sep-24 5:15:00 PM WEST,{ },{ok},14.00
26-Sep-24 5:30:00 PM WEST,{ },{ok},14.00
26-Sep-24 5:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 6:00:00 PM WEST,{ },{ok},13.00
26-Sep-24 6:15:00 PM WEST,{ },{ok},16.00
26-Sep-24 6:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 6:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 7:00:00 PM WEST,{ },{ok},16.00
26-Sep-24 7:15:00 PM WEST,{ },{ok},15.00
26-Sep-24 7:30:00 PM WEST,{ },{ok},10.00
26-Sep-24 7:45:00 PM WEST,{ },{ok},16.00
26-Sep-24 8:00:00 PM WEST,{ },{ok},13.00
26-Sep-24 8:15:00 PM WEST,{ },{ok},16.00
26-Sep-24 8:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 8:45:00 PM WEST,{ },{ok},14.00
26-Sep-24 9:00:00 PM WEST,{ },{ok},14.00
26-Sep-24 9:15:01 PM WEST,{ },{ok},13.00
26-Sep-24 9:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 9:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 10:00:00 PM WEST,{ },{ok},13.00
26-Sep-24 10:15:00 PM WEST,{ },{ok},16.00
26-Sep-24 10:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 10:45:00 PM WEST,{ },{ok},13.00
26-Sep-24 11:00:00 PM WEST,{ },{ok},16.00
26-Sep-24 11:15:00 PM WEST,{ },{ok},15.00
26-Sep-24 11:30:00 PM WEST,{ },{ok},13.00
26-Sep-24 11:45:00 PM WEST,{ },{ok},15.00
27-Sep-24 12:00:00 AM WEST,{ },{ok},13.00
27-Sep-24 12:15:00 AM WEST,{ },{ok},14.00
27-Sep-24 12:30:00 AM WEST,{ },{ok},14.00
27-Sep-24 12:45:00 AM WEST,{ },{ok},12.00
27-Sep-24 1:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 1:15:00 AM WEST,{ },{ok},15.00
27-Sep-24 1:30:00 AM WEST,{ },{ok},12.00
27-Sep-24 1:45:00 AM WEST,{ },{ok},15.00
27-Sep-24 2:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 2:15:00 AM WEST,{ },{ok},12.00
27-Sep-24 2:30:00 AM WEST,{ },{ok},12.00
27-Sep-24 2:45:00 AM WEST,{ },{ok},12.00
27-Sep-24 3:00:00 AM WEST,{ },{ok},14.00
27-Sep-24 3:15:00 AM WEST,{ },{ok},12.00
27-Sep-24 3:30:00 AM WEST,{ },{ok},13.00
27-Sep-24 3:45:00 AM WEST,{ },{ok},13.00
27-Sep-24 4:00:00 AM WEST,{ },{ok},11.00
27-Sep-24 4:15:00 AM WEST,{ },{ok},11.00
27-Sep-24 4:30:00 AM WEST,{ },{ok},14.00
27-Sep-24 4:45:00 AM WEST,{ },{ok},12.00
27-Sep-24 5:00:00 AM WEST,{ },{ok},11.00
27-Sep-24 5:15:00 AM WEST,{ },{ok},14.00
27-Sep-24 5:30:00 AM WEST,{ },{ok},12.00
27-Sep-24 5:45:00 AM WEST,{ },{ok},12.00
27-Sep-24 6:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 6:15:00 AM WEST,{ },{ok},13.00
27-Sep-24 6:30:00 AM WEST,{ },{ok},13.00
27-Sep-24 6:45:00 AM WEST,{ },{ok},10.00
27-Sep-24 7:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 7:15:00 AM WEST,{ },{ok},15.00
27-Sep-24 7:30:00 AM WEST,{ },{ok},12.00
27-Sep-24 7:45:00 AM WEST,{ },{ok},15.00
27-Sep-24 8:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 8:15:00 AM WEST,{ },{ok},15.00
27-Sep-24 8:30:00 AM WEST,{ },{ok},12.00
27-Sep-24 8:45:00 AM WEST,{ },{ok},13.00
27-Sep-24 9:00:00 AM WEST,{ },{ok},15.00
27-Sep-24 9:15:00 AM WEST,{ },{ok},14.00
27-Sep-24 9:30:00 AM WEST,{ },{ok},14.00
27-Sep-24 9:45:00 AM WEST,{ },{ok},13.00
27-Sep-24 10:00:00 AM WEST,{ },{ok},12.00
27-Sep-24 10:15:00 AM WEST,{ },{ok},13.00
27-Sep-24 10:30:00 AM WEST,{ },{ok},13.00
27-Sep-24 10:45:00 AM WEST,{ },{ok},13.00
27-Sep-24 11:00:00 AM WEST,{ },{ok},13.00
27-Sep-24 11:15:00 AM WEST,{ },{ok},16.00
27-Sep-24 11:30:00 AM WEST,{ },{ok},16.00
27-Sep-24 11:45:00 AM WEST,{ },{ok},13.00
27-Sep-24 12:00:00 PM WEST,{ },{ok},16.00
27-Sep-24 12:15:00 PM WEST,{ },{ok},13.00
27-Sep-24 12:30:00 PM WEST,{ },{ok},16.00
27-Sep-24 12:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 1:00:00 PM WEST,{ },{ok},13.00
27-Sep-24 1:15:01 PM WEST,{ },{ok},13.00
27-Sep-24 1:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 1:45:00 PM WEST,{ },{ok},14.00
27-Sep-24 2:00:00 PM WEST,{ },{ok},14.00
27-Sep-24 2:15:00 PM WEST,{ },{ok},13.00
27-Sep-24 2:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 2:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 3:00:00 PM WEST,{ },{ok},16.00
27-Sep-24 3:15:00 PM WEST,{ },{ok},16.00
27-Sep-24 3:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 3:45:01 PM WEST,{ },{ok},16.00
27-Sep-24 4:00:00 PM WEST,{ },{ok},16.00
27-Sep-24 4:15:00 PM WEST,{ },{ok},10.00
27-Sep-24 4:30:00 PM WEST,{ },{ok},15.00
27-Sep-24 4:45:00 PM WEST,{ },{ok},16.00
27-Sep-24 5:00:00 PM WEST,{ },{ok},13.00
27-Sep-24 5:15:00 PM WEST,{ },{ok},14.00
27-Sep-24 5:30:00 PM WEST,{ },{ok},14.00
27-Sep-24 5:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 6:00:00 PM WEST,{ },{ok},13.00
27-Sep-24 6:15:00 PM WEST,{ },{ok},16.00
27-Sep-24 6:30:00 PM WEST,{ },{ok},15.00
27-Sep-24 6:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 7:00:00 PM WEST,{ },{ok},15.00
27-Sep-24 7:15:00 PM WEST,{ },{ok},16.00
27-Sep-24 7:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 7:45:00 PM WEST,{ },{ok},15.00
27-Sep-24 8:00:00 PM WEST,{ },{ok},13.00
27-Sep-24 8:15:00 PM WEST,{ },{ok},15.00
27-Sep-24 8:30:00 PM WEST,{ },{ok},15.00
27-Sep-24 8:45:00 PM WEST,{ },{ok},14.00
27-Sep-24 9:00:00 PM WEST,{ },{ok},14.00
27-Sep-24 9:15:00 PM WEST,{ },{ok},13.00
27-Sep-24 9:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 9:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 10:00:00 PM WEST,{ },{ok},12.00
27-Sep-24 10:15:00 PM WEST,{ },{ok},16.00
27-Sep-24 10:30:00 PM WEST,{ },{ok},13.00
27-Sep-24 10:45:00 PM WEST,{ },{ok},13.00
27-Sep-24 11:00:01 PM WEST,{ },{ok},16.00
27-Sep-24 11:15:00 PM WEST,{ },{ok},13.00
27-Sep-24 11:30:00 PM WEST,{ },{ok},15.00
27-Sep-24 11:45:00 PM WEST,{ },{ok},13.00
28-Sep-24 12:00:00 AM WEST,{ },{ok},15.00
28-Sep-24 12:15:00 AM WEST,{ },{ok},14.00
28-Sep-24 12:30:00 AM WEST,{ },{ok},14.00
28-Sep-24 12:45:00 AM WEST,{ },{ok},14.00
28-Sep-24 1:00:00 AM WEST,{ },{ok},12.00
28-Sep-24 1:15:00 AM WEST,{ },{ok},15.00
28-Sep-24 1:30:00 AM WEST,{ },{ok},15.00
28-Sep-24 1:45:00 AM WEST,{ },{ok},12.00
28-Sep-24 2:00:00 AM WEST,{ },{ok},12.00
28-Sep-24 2:15:00 AM WEST,{ },{ok},14.00
28-Sep-24 2:30:01 AM WEST,{ },{ok},12.00
28-Sep-24 2:45:00 AM WEST,{ },{ok},12.00
28-Sep-24 3:00:00 AM WEST,{ },{ok},9.00
28-Sep-24 3:15:00 AM WEST,{ },{ok},12.00
28-Sep-24 3:30:00 AM WEST,{ },{ok},13.00
28-Sep-24 3:45:00 AM WEST,{ },{ok},13.00
28-Sep-24 4:00:00 AM WEST,{ },{ok},11.00
28-Sep-24 4:15:00 AM WEST,{ },{ok},12.00
28-Sep-24 4:30:00 AM WEST,{ },{ok},14.00
28-Sep-24 4:45:00 AM WEST,{ },{ok},12.00
28-Sep-24 5:00:01 AM WEST,{ },{ok},11.00
28-Sep-24 5:15:00 AM WEST,{ },{ok},14.00
28-Sep-24 5:30:00 AM WEST,{ },{ok},12.00
28-Sep-24 5:45:00 AM WEST,{ },{ok},12.00
28-Sep-24 6:00:00 AM WEST,{ },{ok},12.00
28-Sep-24 6:15:00 AM WEST,{ },{ok},13.00
28-Sep-24 6:30:01 AM WEST,{ },{ok},13.00
28-Sep-24 6:45:01 AM WEST,{ },{ok},13.00
28-Sep-24 7:00:01 AM WEST,{ },{ok},12.00
28-Sep-24 7:15:00 AM WEST,{ },{ok},15.00
28-Sep-24 7:30:00 AM WEST,{ },{ok},12.00
28-Sep-24 7:45:00 AM WEST,{ },{ok},15.00
28-Sep-24 8:00:00 AM WEST,{ },{ok},12.00
28-Sep-24 8:15:00 AM WEST,{ },{ok},15.00
28-Sep-24 8:30:00 AM WEST,{ },{ok},15.00
28-Sep-24 8:45:00 AM WEST,{ },{ok},13.00
28-Sep-24 9:00:01 AM WEST,{ },{ok},15.00
28-Sep-24 9:15:00 AM WEST,{ },{ok},13.00
28-Sep-24 9:30:01 AM WEST,{ },{ok},14.00
28-Sep-24 9:45:00 AM WEST,{ },{ok},10.00
28-Sep-24 10:00:00 AM WEST,{ },{ok},12.00
28-Sep-24 10:15:00 AM WEST,{ },{ok},13.00
28-Sep-24 10:30:00 AM WEST,{ },{ok},13.00
28-Sep-24 10:45:00 AM WEST,{ },{ok},12.00
28-Sep-24 11:00:00 AM WEST,{ },{ok},13.00
28-Sep-24 11:15:00 AM WEST,{ },{ok},16.00
28-Sep-24 11:30:00 AM WEST,{ },{ok},15.00
28-Sep-24 11:45:00 AM WEST,{ },{ok},13.00
28-Sep-24 12:00:00 PM WEST,{ },{ok},16.00
28-Sep-24 12:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 12:30:00 PM WEST,{ },{ok},16.00
28-Sep-24 12:45:01 PM WEST,{ },{ok},16.00
28-Sep-24 1:00:01 PM WEST,{ },{ok},16.00
28-Sep-24 1:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 1:30:00 PM WEST,{ },{ok},16.00
28-Sep-24 1:45:00 PM WEST,{ },{ok},15.00
28-Sep-24 2:00:00 PM WEST,{ },{ok},14.00
28-Sep-24 2:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 2:30:00 PM WEST,{ },{ok},13.00
28-Sep-24 2:45:00 PM WEST,{ },{ok},13.00
28-Sep-24 3:00:00 PM WEST,{ },{ok},16.00
28-Sep-24 3:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 3:30:00 PM WEST,{ },{ok},13.00
28-Sep-24 3:45:00 PM WEST,{ },{ok},16.00
28-Sep-24 4:00:00 PM WEST,{ },{ok},15.00
28-Sep-24 4:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 4:30:01 PM WEST,{ },{ok},15.00
28-Sep-24 4:45:00 PM WEST,{ },{ok},12.00
28-Sep-24 5:00:00 PM WEST,{ },{ok},16.00
28-Sep-24 5:15:00 PM WEST,{ },{ok},14.00
28-Sep-24 5:30:00 PM WEST,{ },{ok},14.00
28-Sep-24 5:45:00 PM WEST,{ },{ok},13.00
28-Sep-24 6:00:00 PM WEST,{ },{ok},13.00
28-Sep-24 6:15:00 PM WEST,{ },{ok},16.00
28-Sep-24 6:30:00 PM WEST,{ },{ok},15.00
28-Sep-24 6:45:00 PM WEST,{ },{ok},13.00
28-Sep-24 7:00:01 PM WEST,{ },{ok},16.00
28-Sep-24 7:15:00 PM WEST,{ },{ok},15.00
28-Sep-24 7:30:00 PM WEST,{ },{ok},13.00
28-Sep-24 7:45:00 PM WEST,{ },{ok},15.00
28-Sep-24 8:00:00 PM WEST,{ },{ok},15.00
28-Sep-24 8:15:00 PM WEST,{ },{ok},15.00
28-Sep-24 8:30:00 PM WEST,{ },{ok},13.00
28-Sep-24 8:45:00 PM WEST,{ },{ok},14.00
28-Sep-24 9:00:00 PM WEST,{ },{ok},14.00
28-Sep-24 9:15:00 PM WEST,{ },{ok},13.00
28-Sep-24 9:30:00 PM WEST,{ },{ok},13.00
28-Sep-24 9:45:00 PM WEST,{ },{ok},13.00
28-Sep-24 10:00:00 PM WEST,{ },{ok},13.00
28-Sep-24 10:15:00 PM WEST,{ },{ok},16.00
28-Sep-24 10:30:00 PM WEST,{ },{ok},15.00
28-Sep-24 10:45:00 PM WEST,{ },{ok},10.00
28-Sep-24 11:00:00 PM WEST,{ },{ok},15.00
28-Sep-24 11:15:00 PM WEST,{ },{ok},10.00
28-Sep-24 11:30:00 PM WEST,{ },{ok},15.00
28-Sep-24 11:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 12:00:00 AM WEST,{ },{ok},15.00
29-Sep-24 12:15:00 AM WEST,{ },{ok},14.00
29-Sep-24 12:30:00 AM WEST,{ },{ok},14.00
29-Sep-24 12:45:00 AM WEST,{ },{ok},14.00
29-Sep-24 1:00:01 AM WEST,{ },{ok},12.00
29-Sep-24 1:15:00 AM WEST,{ },{ok},15.00
29-Sep-24 1:30:00 AM WEST,{ },{ok},12.00
29-Sep-24 1:45:01 AM WEST,{ },{ok},14.00
29-Sep-24 2:00:00 AM WEST,{ },{ok},12.00
29-Sep-24 2:15:00 AM WEST,{ },{ok},14.00
29-Sep-24 2:30:00 AM WEST,{ },{ok},14.00
29-Sep-24 2:45:00 AM WEST,{ },{ok},12.00
29-Sep-24 3:00:00 AM WEST,{ },{ok},12.00
29-Sep-24 3:15:00 AM WEST,{ },{ok},12.00
29-Sep-24 3:30:00 AM WEST,{ },{ok},13.00
29-Sep-24 3:45:01 AM WEST,{ },{ok},10.00
29-Sep-24 4:00:00 AM WEST,{ },{ok},11.00
29-Sep-24 4:15:00 AM WEST,{ },{ok},11.00
29-Sep-24 4:30:00 AM WEST,{ },{ok},14.00
29-Sep-24 4:45:00 AM WEST,{ },{ok},12.00
29-Sep-24 5:00:00 AM WEST,{ },{ok},11.00
29-Sep-24 5:15:00 AM WEST,{ },{ok},14.00
29-Sep-24 5:30:00 AM WEST,{ },{ok},12.00
29-Sep-24 5:45:00 AM WEST,{ },{ok},14.00
29-Sep-24 6:00:00 AM WEST,{ },{ok},14.00
29-Sep-24 6:15:00 AM WEST,{ },{ok},12.00
29-Sep-24 6:30:01 AM WEST,{ },{ok},13.00
29-Sep-24 6:45:01 AM WEST,{ },{ok},11.00
29-Sep-24 7:00:01 AM WEST,{ },{ok},12.00
29-Sep-24 7:15:00 AM WEST,{ },{ok},15.00
29-Sep-24 7:30:00 AM WEST,{ },{ok},12.00
29-Sep-24 7:45:00 AM WEST,{ },{ok},15.00
29-Sep-24 8:00:00 AM WEST,{ },{ok},12.00
29-Sep-24 8:15:01 AM WEST,{ },{ok},12.00
29-Sep-24 8:30:00 AM WEST,{ },{ok},15.00
29-Sep-24 8:45:00 AM WEST,{ },{ok},12.00
29-Sep-24 9:00:00 AM WEST,{ },{ok},12.00
29-Sep-24 9:15:00 AM WEST,{ },{ok},14.00
29-Sep-24 9:30:00 AM WEST,{ },{ok},14.00
29-Sep-24 9:45:00 AM WEST,{ },{ok},13.00
29-Sep-24 10:00:01 AM WEST,{ },{ok},12.00
29-Sep-24 10:15:01 AM WEST,{ },{ok},12.00
29-Sep-24 10:30:01 AM WEST,{ },{ok},12.00
29-Sep-24 10:45:00 AM WEST,{ },{ok},13.00
29-Sep-24 11:00:00 AM WEST,{ },{ok},13.00
29-Sep-24 11:15:00 AM WEST,{ },{ok},16.00
29-Sep-24 11:30:00 AM WEST,{ },{ok},13.00
29-Sep-24 11:45:00 AM WEST,{ },{ok},13.00
29-Sep-24 12:00:00 PM WEST,{ },{ok},16.00
29-Sep-24 12:15:00 PM WEST,{ },{ok},13.00
29-Sep-24 12:30:00 PM WEST,{ },{ok},16.00
29-Sep-24 12:45:00 PM WEST,{ },{ok},16.00
29-Sep-24 1:00:00 PM WEST,{ },{ok},13.00
29-Sep-24 1:15:00 PM WEST,{ },{ok},15.00
29-Sep-24 1:30:01 PM WEST,{ },{ok},13.00
29-Sep-24 1:45:00 PM WEST,{ },{ok},15.00
29-Sep-24 2:00:01 PM WEST,{ },{ok},14.00
29-Sep-24 2:15:00 PM WEST,{ },{ok},13.00
29-Sep-24 2:30:00 PM WEST,{ },{ok},13.00
29-Sep-24 2:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 3:00:01 PM WEST,{ },{ok},16.00
29-Sep-24 3:15:00 PM WEST,{ },{ok},15.00
29-Sep-24 3:30:00 PM WEST,{ },{ok},13.00
29-Sep-24 3:45:00 PM WEST,{ },{ok},16.00
29-Sep-24 4:00:00 PM WEST,{ },{ok},15.00
29-Sep-24 4:15:00 PM WEST,{ },{ok},10.00
29-Sep-24 4:30:00 PM WEST,{ },{ok},16.00
29-Sep-24 4:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 5:00:01 PM WEST,{ },{ok},16.00
29-Sep-24 5:15:00 PM WEST,{ },{ok},14.00
29-Sep-24 5:30:00 PM WEST,{ },{ok},14.00
29-Sep-24 5:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 6:00:00 PM WEST,{ },{ok},13.00
29-Sep-24 6:15:00 PM WEST,{ },{ok},16.00
29-Sep-24 6:30:00 PM WEST,{ },{ok},15.00
29-Sep-24 6:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 7:00:00 PM WEST,{ },{ok},13.00
29-Sep-24 7:15:00 PM WEST,{ },{ok},15.00
29-Sep-24 7:30:00 PM WEST,{ },{ok},14.00
29-Sep-24 7:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 8:00:00 PM WEST,{ },{ok},13.00
29-Sep-24 8:15:00 PM WEST,{ },{ok},16.00
29-Sep-24 8:30:00 PM WEST,{ },{ok},13.00
29-Sep-24 8:45:00 PM WEST,{ },{ok},14.00
29-Sep-24 9:00:00 PM WEST,{ },{ok},14.00
29-Sep-24 9:15:00 PM WEST,{ },{ok},13.00
29-Sep-24 9:30:00 PM WEST,{ },{ok},13.00
29-Sep-24 9:45:00 PM WEST,{ },{ok},13.00
29-Sep-24 10:00:00 PM WEST,{ },{ok},13.00
29-Sep-24 10:15:01 PM WEST,{ },{ok},16.00
29-Sep-24 10:30:00 PM WEST,{ },{ok},15.00
29-Sep-24 10:45:00 PM WEST,{ },{ok},10.00
29-Sep-24 11:00:00 PM WEST,{ },{ok},16.00
29-Sep-24 11:15:00 PM WEST,{ },{ok},10.00
29-Sep-24 11:30:00 PM WEST,{ },{ok},15.00
29-Sep-24 11:45:00 PM WEST,{ },{ok},10.00
30-Sep-24 12:00:00 AM WEST,{ },{ok},15.00
30-Sep-24 12:15:00 AM WEST,{ },{ok},14.00
30-Sep-24 12:30:00 AM WEST,{ },{ok},14.00
30-Sep-24 12:45:00 AM WEST,{ },{ok},10.00
30-Sep-24 1:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 1:15:00 AM WEST,{ },{ok},15.00
30-Sep-24 1:30:00 AM WEST,{ },{ok},14.00
30-Sep-24 1:45:03 AM WEST,{ },{ok},12.00
30-Sep-24 2:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 2:15:00 AM WEST,{ },{ok},14.00
30-Sep-24 2:30:00 AM WEST,{ },{ok},14.00
30-Sep-24 2:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 3:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 3:15:00 AM WEST,{ },{ok},13.00
30-Sep-24 3:30:01 AM WEST,{ },{ok},13.00
30-Sep-24 3:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 4:00:00 AM WEST,{ },{ok},11.00
30-Sep-24 4:15:00 AM WEST,{ },{ok},11.00
30-Sep-24 4:30:00 AM WEST,{ },{ok},15.00
30-Sep-24 4:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 5:00:01 AM WEST,{ },{ok},15.00
30-Sep-24 5:15:00 AM WEST,{ },{ok},14.00
30-Sep-24 5:30:00 AM WEST,{ },{ok},14.00
30-Sep-24 5:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 6:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 6:15:01 AM WEST,{ },{ok},13.00
30-Sep-24 6:30:00 AM WEST,{ },{ok},13.00
30-Sep-24 6:45:00 AM WEST,{ },{ok},11.00
30-Sep-24 7:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 7:15:00 AM WEST,{ },{ok},15.00
30-Sep-24 7:30:00 AM WEST,{ },{ok},12.00
30-Sep-24 7:45:01 AM WEST,{ },{ok},12.00
30-Sep-24 8:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 8:15:00 AM WEST,{ },{ok},12.00
30-Sep-24 8:30:00 AM WEST,{ },{ok},15.00
30-Sep-24 8:45:00 AM WEST,{ },{ok},15.00
30-Sep-24 9:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 9:15:00 AM WEST,{ },{ok},13.00
30-Sep-24 9:30:00 AM WEST,{ },{ok},14.00
30-Sep-24 9:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 10:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 10:15:01 AM WEST,{ },{ok},12.00
30-Sep-24 10:30:00 AM WEST,{ },{ok},12.00
30-Sep-24 10:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 11:00:00 AM WEST,{ },{ok},12.00
30-Sep-24 11:15:00 AM WEST,{ },{ok},15.00
30-Sep-24 11:30:00 AM WEST,{ },{ok},13.00
30-Sep-24 11:45:00 AM WEST,{ },{ok},12.00
30-Sep-24 12:00:00 PM WEST,{ },{ok},16.00
30-Sep-24 12:15:00 PM WEST,{ },{ok},13.00
30-Sep-24 12:30:00 PM WEST,{ },{ok},16.00
30-Sep-24 12:45:00 PM WEST,{ },{ok},13.00
30-Sep-24 1:00:00 PM WEST,{ },{ok},16.00
30-Sep-24 1:15:01 PM WEST,{ },{ok},13.00
30-Sep-24 1:30:00 PM WEST,{ },{ok},16.00
30-Sep-24 1:45:00 PM WEST,{ },{ok},14.00
30-Sep-24 2:00:01 PM WEST,{ },{ok},15.00
30-Sep-24 2:15:00 PM WEST,{ },{ok},13.00
30-Sep-24 2:30:00 PM WEST,{ },{ok},13.00
30-Sep-24 2:45:00 PM WEST,{ },{ok},13.00
30-Sep-24 3:00:00 PM WEST,{ },{ok},16.00
30-Sep-24 3:15:01 PM WEST,{ },{ok},16.00
30-Sep-24 3:30:00 PM WEST,{ },{ok},13.00
30-Sep-24 3:45:00 PM WEST,{ },{ok},16.00
30-Sep-24 4:00:00 PM WEST,{ },{ok},16.00
30-Sep-24 4:15:00 PM WEST,{ },{ok},10.00
30-Sep-24 4:30:00 PM WEST,{ },{ok},15.00
30-Sep-24 4:45:00 PM WEST,{ },{ok},13.00
30-Sep-24 5:00:00 PM WEST,{ },{ok},15.00
30-Sep-24 5:15:01 PM WEST,{ },{ok},14.00
30-Sep-24 5:30:01 PM WEST,{ },{ok},14.00
30-Sep-24 5:45:01 PM WEST,{ },{ok},14.00
30-Sep-24 6:00:01 PM WEST,{ },{ok},13.00
30-Sep-24 6:15:00 PM WEST,{ },{ok},15.00
30-Sep-24 6:30:06 PM WEST,{ },{ok},15.00
30-Sep-24 6:45:06 PM WEST,{ },{ok},10.00
30-Sep-24 7:00:06 PM WEST,{ },{ok},15.00
30-Sep-24 7:15:06 PM WEST,{ },{ok},15.00
30-Sep-24 7:30:06 PM WEST,{ },{ok},13.00
30-Sep-24 7:45:07 PM WEST,{ },{ok},15.00
30-Sep-24 8:00:06 PM WEST,{ },{ok},13.00
30-Sep-24 8:15:06 PM WEST,{ },{ok},16.00
30-Sep-24 8:30:07 PM WEST,{ },{ok},10.00
30-Sep-24 8:45:06 PM WEST,{ },{ok},14.00
